#name "Gaggle-Goodbye-First"
#participants 5
set_dialogue_color 1 0 0.52 0.95
set_dialogue_voice 1 8
set_dialogue_color 3 0 0.52 0.95
set_dialogue_voice 3 8
set_dialogue_color 2 101 139 54
set_dialogue_voice 2 15
set_dialogue_color 4 101 139 54
set_dialogue_voice 4 15
say 3 "Erdi" "Didn't you Just bring her up a second ago? [wait 0.05]Vando, [wait 0.05]you were listenin', [wait 0.05]right? [wait 0.05]Did he not just throw out Klaasjie's name without prompt?"

say 2 "Vando" "I mean--"

say 1 "Ghost" "I only brought her up because you wouldn't let her so-called crap drop. [wait 0.1]You're obviously the one obsessed."

say 2 "Vando" "How long have you two been at this? [wait 0.05]I think I must'a spaced out."

say 3 "Erdi" "Too long. [wait 0.1]We're not even talkin' about anything real, [wait 0.05]anymore. [wait 0.1]Just harping on made-up cloudtalk."

say 1 "Ghost" "Damn it all--[wait 0.1]I have wasted a lot of time, [wait 0.05]haven't I?"

say 2 "Vando" "So... [wait 0.1]Do I recommend my lord read Klaasjie, [wait 0.05]or...[wait 0.05]?"

say 3 "Erdi" "Priya's heart, [wait 0.05]no. [wait 0.1]That stuff's depressing. [wait 0.1]Frontier style, [wait 0.05]sure, [wait 0.05]but..."

say 1 "Ghost" "Do or don't, [wait 0.05]I don't care. [wait 0.1]I don't know."

say 1 "Ghost" "Whatever! [wait 0.05]I'm out of here."

send_level_message "dialogue_done"
